📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
220  LE10101000001                           방석 내장재_목화솜__1kg  LE10101000001   1  2026-04-13  2026-04-13
221  LE10101001001        미니멀 방석 커버_오프화이트(off_white)_600x600  LE10101001001   1  2026-04-13  2026-04-13
222  LE10101002001        미니멀 방석 커버_브라운(Light_Brown)_600x600  LE10101002001   1  2026-04-13  2026-04-13
223  LE10101003001               미니멀 방석 커버_그레이(Grey)_600x600  LE10101003001   1  2026-04-13  2026-04-13
224  LE10101004001          미니멀 방석 커버_블루문(Blue_Moon)_600x600  LE10101004001   1  2026-04-13  2026-04-13
225  LE10101005001         미니멀 방석 커버_딥블랙(Deep_Black)_600x600  LE10101005001   1  2026-04-13  2026-04-13
226  LE101C2000001                             방석 충전재 (600g)  LE101C2000001   1  2026-04-13  2026-04-13
227  LE10200001001         미니멀 펫쿠션 커버_오프화이트(off_white)_Large  LE10200001001   1  2026-04-13  2026-04-13
228  LE10200001002        미니멀 펫쿠션 커버_오프화이트(off_white)_Medium  LE10200001002   1  2026-04-13  2026-04-13
229  LE10200002001         미니멀 펫쿠션 커버_브라운(Light_Brown)_Large  LE10200002001   1  2026-04-13  2026-04-13
230  LE10200002002        미니멀 펫쿠션 커버_브라운(Light_Brown)_Medium  LE10200002002   1  2026-04-13  2026-04-13
231  LE10200003001                미니멀 펫쿠션 커버_그레이(Grey)_Large  LE10200003001   1  2026-04-13  2026-04-13
232  LE10200003002               미니멀 펫쿠션 커버_그레이(Grey)_Medium  LE10200003002   1  2026-04-13  2026-04-13
233  LE10200004001         미니멀 펫쿠션 커버_브라운(Light_Brown)_Large  LE10200002001   1  2026-04-13  2026-04-13
234  LE10200004002        미니멀 펫쿠션 커버_브라운(Light_Brown)_Medium  LE10200002002   1  2026-04-13  2026-04-13
235  LE10200005001                미니멀 펫쿠션 커버_그레이(Grey)_Large  LE10200003001   1  2026-04-13  2026-04-13
236  LE10200005002               미니멀 펫쿠션 커버_그레이(Grey)_Medium  LE10200003002   1  2026-04-13  2026-04-13
237  LE102S1001001                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
238  LE102S1001001                      미니멀러그_오프화이트_원형_1900Ø  LE10000001009   1  2026-04-13  2026-04-13
239  LE102S1001001                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
240  LE102S1002001                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
241  LE102S1002001                        미니멀러그_브라운_원형_1900Ø  LE10000002009   1  2026-04-13  2026-04-13
242  LE102S1002001                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
243  LE102S1003001                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
244  LE102S1003001                        미니멀러그_그레이_원형_1900Ø  LE10000003009   1  2026-04-13  2026-04-13
245  LE102S1003001                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
246  LE102S1004001                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
247  LE102S1004001                        미니멀러그_블루문_원형_1900Ø  LE10000004009   1  2026-04-13  2026-04-13
248  LE102S1004001                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
249  LE102S1005001                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
250  LE102S1005001                        미니멀러그_딥블랙_원형_1900Ø  LE10000005009   1  2026-04-13  2026-04-13
